2016-06-05T15:38:13, txID=6798, userSessionid=6452, teamid=77, userid=1451, adID=2, adCategory=sports
2016-06-05T15:55:49, txID=6800, userSessionid=6471, teamid=4, userid=918, adID=24, adCategory=computers
2016-06-05T15:56:30, txID=6799, userSessionid=6781, teamid=182, userid=255, adID=13, adCategory=hardware
2016-06-05T16:05:01, txID=6817, userSessionid=6446, teamid=101, userid=1878, adID=2, adCategory=sports
2016-06-05T16:10:04, txID=6819, userSessionid=6570, teamid=106, userid=128, adID=25, adCategory=sports
2016-06-05T16:13:39, txID=6815, userSessionid=6511, teamid=105, userid=35, adID=25, adCategory=sports
2016-06-05T16:15:15, txID=6822, userSessionid=6584, teamid=63, userid=1310, adID=15, adCategory=fashion
2016-06-05T16:15:39, txID=6821, userSessionid=6303, teamid=164, userid=21, adID=14, adCategory=fashion
2016-06-05T16:17:24, txID=6823, userSessionid=6222, teamid=50, userid=897, adID=12, adCategory=games
2016-06-05T16:24:15, txID=6818, userSessionid=6669, teamid=89, userid=1828, adID=25, adCategory=sports
2016-06-05T16:24:36, txID=6816, userSessionid=6614, teamid=129, userid=1211, adID=22, adCategory=hardware
2016-06-05T16:32:25, txID=6820, userSessionid=6386, teamid=160, userid=1988, adID=0, adCategory=hardware
2016-06-05T16:33:08, txID=6839, userSessionid=6456, teamid=49, userid=436, adID=17, adCategory=movies
2016-06-05T16:33:51, txID=6845, userSessionid=6470, teamid=174, userid=1568, adID=13, adCategory=hardware
2016-06-05T16:33:55, txID=6853, userSessionid=6383, teamid=84, userid=221, adID=1, adCategory=electronics
2016-06-05T16:36:38, txID=6846, userSessionid=6530, teamid=176, userid=1617, adID=18, adCategory=fashion
2016-06-05T16:37:41, txID=6849, userSessionid=6238, teamid=183, userid=1398, adID=5, adCategory=movies
2016-06-05T16:44:52, txID=6850, userSessionid=6306, teamid=156, userid=872, adID=24, adCategory=computers
2016-06-05T16:50:37, txID=6848, userSessionid=6515, teamid=162, userid=524, adID=29, adCategory=games
2016-06-05T16:52:46, txID=6851, userSessionid=6373, teamid=62, userid=1471, adID=22, adCategory=hardware
2016-06-05T16:53:40, txID=6843, userSessionid=6622, teamid=173, userid=1253, adID=18, adCategory=fashion
2016-06-05T16:53:47, txID=6842, userSessionid=6442, teamid=101, userid=1669, adID=16, adCategory=clothing
2016-06-05T16:54:16, txID=6841, userSessionid=6475, teamid=185, userid=1732, adID=22, adCategory=hardware
2016-06-05T16:54:17, txID=6844, userSessionid=6260, teamid=114, userid=710, adID=28, adCategory=sports
2016-06-05T16:58:02, txID=6847, userSessionid=6760, teamid=192, userid=1249, adID=10, adCategory=movies
2016-06-05T17:00:19, txID=6840, userSessionid=6696, teamid=48, userid=554, adID=15, adCategory=fashion
2016-06-05T17:00:29, txID=6854, userSessionid=6427, teamid=84, userid=455, adID=1, adCategory=electronics
2016-06-05T17:02:41, txID=6852, userSessionid=6741, teamid=85, userid=1886, adID=23, adCategory=sports
2016-06-05T17:06:20, txID=6868, userSessionid=6495, teamid=144, userid=118, adID=29, adCategory=games
2016-06-05T17:09:00, txID=6870, userSessionid=6446, teamid=101, userid=1878, adID=3, adCategory=computers
2016-06-05T17:12:54, txID=6876, userSessionid=6250, teamid=34, userid=1090, adID=21, adCategory=movies
2016-06-05T17:13:38, txID=6880, userSessionid=6281, teamid=173, userid=1258, adID=14, adCategory=fashion
2016-06-05T17:13:46, txID=6869, userSessionid=6620, teamid=57, userid=1611, adID=0, adCategory=hardware
2016-06-05T17:13:47, txID=6867, userSessionid=6796, teamid=92, userid=1796, adID=13, adCategory=hardware
2016-06-05T17:15:49, txID=6866, userSessionid=6540, teamid=173, userid=1232, adID=14, adCategory=fashion
2016-06-05T17:18:59, txID=6874, userSessionid=6203, teamid=109, userid=1069, adID=13, adCategory=hardware
2016-06-05T17:20:21, txID=6872, userSessionid=6694, teamid=27, userid=1350, adID=24, adCategory=computers
2016-06-05T17:21:00, txID=6873, userSessionid=6389, teamid=139, userid=1349, adID=8, adCategory=clothing
2016-06-05T17:24:45, txID=6871, userSessionid=6273, teamid=144, userid=1790, adID=13, adCategory=hardware
2016-06-05T17:24:46, txID=6878, userSessionid=6633, teamid=161, userid=1332, adID=5, adCategory=movies
2016-06-05T17:27:10, txID=6879, userSessionid=6401, teamid=177, userid=1449, adID=22, adCategory=hardware
2016-06-05T17:28:36, txID=6877, userSessionid=6224, teamid=81, userid=973, adID=3, adCategory=computers
2016-06-05T17:29:25, txID=6875, userSessionid=6628, teamid=84, userid=301, adID=4, adCategory=clothing
2016-06-05T17:34:14, txID=6906, userSessionid=6260, teamid=114, userid=710, adID=20, adCategory=sports
2016-06-05T17:35:10, txID=6899, userSessionid=6238, teamid=183, userid=1398, adID=25, adCategory=sports
2016-06-05T17:35:12, txID=6908, userSessionid=6672, teamid=150, userid=1109, adID=24, adCategory=computers
