time=2016-06-06T23:33:05, eventid=0, teamid=3, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=1, teamid=3, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=2, teamid=4, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=3, teamid=4, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=4, teamid=6, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=5, teamid=6, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=6, teamid=7, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=7, teamid=7, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=8, teamid=9, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=9, teamid=9, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=10, teamid=10, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=11, teamid=10, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=12, teamid=17, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=13, teamid=17, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=14, teamid=20, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=15, teamid=20, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=16, teamid=27, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=17, teamid=27, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=18, teamid=28, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=19, teamid=28, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=20, teamid=29, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=21, teamid=29, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=22, teamid=31, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=23, teamid=31, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=24, teamid=34, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=25, teamid=34, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=26, teamid=35, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=27, teamid=35, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=28, teamid=40, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=29, teamid=40, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=30, teamid=42, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=31, teamid=42, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=32, teamid=44, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=33, teamid=44, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=34, teamid=45, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=35, teamid=45, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=36, teamid=46, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=37, teamid=46, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=38, teamid=48, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=39, teamid=48, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=40, teamid=49, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=41, teamid=49, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=42, teamid=50, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=43, teamid=50, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=44, teamid=54, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=45, teamid=54, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=46, teamid=55, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=47, teamid=55, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=48, teamid=56, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=49, teamid=56, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=50, teamid=57, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=51, teamid=57, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=52, teamid=60, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=53, teamid=60, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=54, teamid=62, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=55, teamid=62, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=56, teamid=63, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=57, teamid=63, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=58, teamid=69, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=59, teamid=69, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=60, teamid=70, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=61, teamid=70, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=62, teamid=71, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=63, teamid=71, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=64, teamid=73, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=65, teamid=73, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=66, teamid=77, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=67, teamid=77, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=68, teamid=81, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=69, teamid=81, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=70, teamid=84, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=71, teamid=84, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=72, teamid=85, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=73, teamid=85, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=74, teamid=88, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=75, teamid=88, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=76, teamid=89, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=77, teamid=89, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=78, teamid=92, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=79, teamid=92, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=80, teamid=94, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=81, teamid=94, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=82, teamid=96, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=83, teamid=96, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=84, teamid=99, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=85, teamid=99, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=86, teamid=101, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=87, teamid=101, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=88, teamid=105, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=89, teamid=105, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=90, teamid=106, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=91, teamid=106, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=92, teamid=107, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=93, teamid=107, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=94, teamid=109, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=95, teamid=109, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=96, teamid=114, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=97, teamid=114, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=98, teamid=115, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=99, teamid=115, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=100, teamid=118, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=101, teamid=118, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=102, teamid=119, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=103, teamid=119, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=104, teamid=121, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=105, teamid=121, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=106, teamid=122, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=107, teamid=122, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=108, teamid=128, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=109, teamid=128, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=110, teamid=129, level=1, eventType=end
