time=2016-05-30T22:00:23, team=167, userid=1410, assignmentid=5328 
time=2016-05-30T22:02:33, team=144, userid=118, assignmentid=5375 
time=2016-05-30T22:05:13, team=99, userid=396, assignmentid=5177 
time=2016-05-30T22:09:32, team=179, userid=1722, assignmentid=5251 
time=2016-05-30T22:09:55, team=121, userid=941, assignmentid=6105 
time=2016-05-30T22:10:30, team=162, userid=462, assignmentid=5637 
time=2016-05-30T22:18:56, team=9, userid=224, assignmentid=5501 
time=2016-05-30T22:19:19, team=46, userid=1882, assignmentid=5623 
time=2016-05-30T22:27:01, team=179, userid=1283, assignmentid=5248 
time=2016-05-30T22:36:26, team=121, userid=192, assignmentid=6104 
time=2016-05-30T22:46:08, team=29, userid=1904, assignmentid=5123 
time=2016-05-30T22:48:57, team=162, userid=723, assignmentid=5639 
time=2016-05-30T22:49:24, team=96, userid=463, assignmentid=5907 
time=2016-05-30T22:51:28, team=114, userid=850, assignmentid=5685 
time=2016-05-30T22:52:17, team=28, userid=1595, assignmentid=5665 
time=2016-05-30T22:53:06, team=114, userid=684, assignmentid=5702 
time=2016-05-30T22:53:31, team=89, userid=1467, assignmentid=6003 
time=2016-05-30T23:00:32, team=196, userid=615, assignmentid=5205 
time=2016-05-30T23:04:23, team=57, userid=1611, assignmentid=6064 
time=2016-05-30T23:04:26, team=196, userid=385, assignmentid=6061 
time=2016-05-30T23:04:51, team=44, userid=441, assignmentid=6015 
time=2016-05-30T23:14:48, team=89, userid=532, assignmentid=5998 
time=2016-05-30T23:16:00, team=40, userid=226, assignmentid=5652 
time=2016-05-30T23:17:02, team=7, userid=931, assignmentid=5428 
time=2016-05-30T23:18:42, team=129, userid=113, assignmentid=5934 
time=2016-05-30T23:19:35, team=84, userid=1912, assignmentid=6099 
time=2016-05-30T23:21:40, team=9, userid=1165, assignmentid=5498 
time=2016-05-30T23:21:56, team=88, userid=61, assignmentid=5716 
time=2016-05-30T23:25:01, team=77, userid=1451, assignmentid=5675 
time=2016-05-30T23:26:37, team=89, userid=657, assignmentid=5830 
time=2016-05-30T23:26:52, team=50, userid=1304, assignmentid=5264 
time=2016-05-30T23:27:16, team=62, userid=1672, assignmentid=5603 
time=2016-05-30T23:27:52, team=163, userid=512, assignmentid=5089 
time=2016-05-30T23:32:51, team=173, userid=1060, assignmentid=5780 
time=2016-05-30T23:34:55, team=106, userid=1401, assignmentid=5412 
time=2016-05-30T23:36:07, team=177, userid=465, assignmentid=5939 
time=2016-05-30T23:42:12, team=35, userid=11, assignmentid=5303 
time=2016-05-30T23:44:56, team=17, userid=655, assignmentid=6113 
time=2016-05-30T23:49:26, team=71, userid=414, assignmentid=5832 
time=2016-05-30T23:50:37, team=34, userid=610, assignmentid=5348 
time=2016-05-30T23:53:52, team=176, userid=275, assignmentid=5114 
time=2016-05-30T23:54:18, team=89, userid=856, assignmentid=6001 
time=2016-05-30T23:54:44, team=71, userid=157, assignmentid=5838 
time=2016-05-31T00:00:29, team=129, userid=1003, assignmentid=5931 
time=2016-05-31T00:08:21, team=10, userid=312, assignmentid=5542 
time=2016-05-31T00:11:36, team=152, userid=1217, assignmentid=5102 
time=2016-05-31T00:13:07, team=9, userid=734, assignmentid=5503 
time=2016-05-31T00:17:12, team=54, userid=32, assignmentid=5594 
time=2016-05-31T00:20:52, team=163, userid=1676, assignmentid=5087 
time=2016-05-31T00:24:39, team=94, userid=1869, assignmentid=5744 
time=2016-05-31T00:25:20, team=48, userid=319, assignmentid=5354 
time=2016-05-31T00:26:09, team=173, userid=67, assignmentid=5788 
time=2016-05-31T00:26:16, team=176, userid=80, assignmentid=5285 
time=2016-05-31T00:28:50, team=139, userid=148, assignmentid=5463 
time=2016-05-31T00:38:24, team=109, userid=1182, assignmentid=6038 
time=2016-05-31T00:42:42, team=107, userid=1621, assignmentid=5027 
time=2016-05-31T00:45:41, team=17, userid=90, assignmentid=5170 
time=2016-05-31T00:46:57, team=10, userid=1511, assignmentid=5553 
time=2016-05-31T00:52:15, team=84, userid=221, assignmentid=6095 
time=2016-05-31T00:54:41, team=160, userid=932, assignmentid=6076 
time=2016-05-31T00:55:08, team=84, userid=629, assignmentid=5942 
time=2016-05-31T00:55:55, team=84, userid=1361, assignmentid=5947 
time=2016-05-31T00:56:03, team=63, userid=1653, assignmentid=5196 
time=2016-05-31T01:00:37, team=122, userid=942, assignmentid=6192 
time=2016-05-31T01:00:53, team=62, userid=833, assignmentid=5620 
time=2016-05-31T01:00:55, team=144, userid=116, assignmentid=5005 
time=2016-05-31T01:04:02, team=35, userid=308, assignmentid=5314 
time=2016-05-31T01:05:46, team=29, userid=176, assignmentid=5121 
time=2016-05-31T01:06:53, team=122, userid=165, assignmentid=6184 
time=2016-05-31T01:09:24, team=73, userid=1936, assignmentid=5384 
time=2016-05-31T01:11:13, team=131, userid=1934, assignmentid=5076 
time=2016-05-31T01:19:33, team=173, userid=999, assignmentid=5777 
time=2016-05-31T01:20:05, team=60, userid=1213, assignmentid=6033 
time=2016-05-31T01:26:20, team=49, userid=753, assignmentid=5708 
time=2016-05-31T01:29:01, team=40, userid=366, assignmentid=5643 
time=2016-05-31T01:29:27, team=50, userid=115, assignmentid=5253 
time=2016-05-31T01:30:51, team=92, userid=1383, assignmentid=5799 
time=2016-05-31T01:31:23, team=118, userid=1269, assignmentid=5240 
time=2016-05-31T01:34:30, team=9, userid=1866, assignmentid=5500 
