teamid=172, name=iaqAzXFUe, teamCreationTime=2016-05-29T04:38:19, teamEndTime=9999-12-31T23:59:59, strength=0.283660390845, currentLevel=1
teamid=198, name=xDaJ8694G, teamCreationTime=2016-05-29T08:15:17, teamEndTime=9999-12-31T23:59:59, strength=0.520584157491, currentLevel=1
teamid=34, name=bvnf3WJN, teamCreationTime=2016-05-29T14:23:43, teamEndTime=9999-12-31T23:59:59, strength=0.630482139697, currentLevel=1
teamid=90, name=tczsf4INl, teamCreationTime=2016-05-29T23:03:34, teamEndTime=9999-12-31T23:59:59, strength=0.272855880685, currentLevel=1
teamid=28, name=7HKauAVr, teamCreationTime=2016-05-30T00:00:49, teamEndTime=9999-12-31T23:59:59, strength=0.555263687275, currentLevel=1
teamid=197, name=DwqFQG, teamCreationTime=2016-05-30T00:01:11, teamEndTime=9999-12-31T23:59:59, strength=0.722455465106, currentLevel=1
teamid=79, name=0vxYHNhXUZ, teamCreationTime=2016-05-30T00:47:09, teamEndTime=9999-12-31T23:59:59, strength=0.968520699476, currentLevel=1
teamid=195, name=ZFx6EQQK, teamCreationTime=2016-05-30T06:03:09, teamEndTime=9999-12-31T23:59:59, strength=0.793509517919, currentLevel=1
teamid=6, name=SXs4cwys, teamCreationTime=2016-05-30T06:05:17, teamEndTime=9999-12-31T23:59:59, strength=0.122854717765, currentLevel=1
teamid=127, name=gVOlatvE, teamCreationTime=2016-05-30T07:17:53, teamEndTime=9999-12-31T23:59:59, strength=0.215666100124, currentLevel=1
teamid=133, name=Cx7zf9b, teamCreationTime=2016-05-30T07:23:25, teamEndTime=9999-12-31T23:59:59, strength=0.540953750037, currentLevel=1
teamid=143, name=z7T2XQhdPUR, teamCreationTime=2016-05-30T08:24:54, teamEndTime=9999-12-31T23:59:59, strength=0.19093358486, currentLevel=1
teamid=42, name=0BprVlYK, teamCreationTime=2016-05-30T09:33:25, teamEndTime=9999-12-31T23:59:59, strength=0.489320277118, currentLevel=1
teamid=27, name=xBWf5nTY, teamCreationTime=2016-05-30T11:12:33, teamEndTime=9999-12-31T23:59:59, strength=0.357764680531, currentLevel=1
teamid=134, name=TCZrYLRz, teamCreationTime=2016-05-30T11:19:14, teamEndTime=9999-12-31T23:59:59, strength=0.985057753417, currentLevel=1
teamid=66, name=Pyvmn2zhx8, teamCreationTime=2016-05-30T12:36:48, teamEndTime=9999-12-31T23:59:59, strength=0.620483829444, currentLevel=1
teamid=156, name=9gt6pkQH2, teamCreationTime=2016-05-30T13:51:25, teamEndTime=9999-12-31T23:59:59, strength=0.110300220924, currentLevel=1
teamid=170, name=dZ0ZKBnXse, teamCreationTime=2016-05-30T14:56:06, teamEndTime=9999-12-31T23:59:59, strength=0.285781292992, currentLevel=1
teamid=40, name=3X1y1fFJ6UH, teamCreationTime=2016-05-30T16:27:20, teamEndTime=9999-12-31T23:59:59, strength=0.461520943566, currentLevel=1
teamid=120, name=efLsxrrReIq, teamCreationTime=2016-05-30T17:23:26, teamEndTime=9999-12-31T23:59:59, strength=0.345025379672, currentLevel=1
teamid=174, name=XNsFle5kT, teamCreationTime=2016-05-30T18:03:10, teamEndTime=9999-12-31T23:59:59, strength=0.490747773055, currentLevel=1
teamid=131, name=cIZBShT7K, teamCreationTime=2016-05-30T19:44:34, teamEndTime=9999-12-31T23:59:59, strength=0.727434270142, currentLevel=1
teamid=62, name=x5UiYplCj0n, teamCreationTime=2016-05-30T20:16:04, teamEndTime=9999-12-31T23:59:59, strength=0.812549356299, currentLevel=1
teamid=164, name=L97UIXMPbhF, teamCreationTime=2016-05-30T21:15:51, teamEndTime=9999-12-31T23:59:59, strength=0.50287321557, currentLevel=1
teamid=88, name=SdvAeiHEUY, teamCreationTime=2016-05-30T21:19:23, teamEndTime=9999-12-31T23:59:59, strength=0.460718087409, currentLevel=1
teamid=58, name=cVyX0lURQRj, teamCreationTime=2016-05-30T21:58:10, teamEndTime=9999-12-31T23:59:59, strength=0.641411416703, currentLevel=1
teamid=26, name=bRTzhxr, teamCreationTime=2016-05-30T22:26:17, teamEndTime=9999-12-31T23:59:59, strength=0.543725432285, currentLevel=1
teamid=177, name=Fn46dsgX5, teamCreationTime=2016-05-30T22:37:14, teamEndTime=9999-12-31T23:59:59, strength=0.104290680436, currentLevel=1
teamid=20, name=tkoDtvpBM, teamCreationTime=2016-05-30T22:44:20, teamEndTime=9999-12-31T23:59:59, strength=0.315793906898, currentLevel=1
teamid=176, name=UsrsDyqJ9, teamCreationTime=2016-05-30T22:58:33, teamEndTime=9999-12-31T23:59:59, strength=0.474915400921, currentLevel=1
teamid=19, name=uXgN9w, teamCreationTime=2016-05-30T23:04:27, teamEndTime=9999-12-31T23:59:59, strength=0.665639002949, currentLevel=1
teamid=114, name=Oa6J63R, teamCreationTime=2016-05-31T00:05:10, teamEndTime=9999-12-31T23:59:59, strength=0.808705703613, currentLevel=1
teamid=179, name=LgAqjSFjSY, teamCreationTime=2016-05-31T00:19:40, teamEndTime=9999-12-31T23:59:59, strength=0.312555681627, currentLevel=1
teamid=72, name=KoxQR1VXU0, teamCreationTime=2016-05-31T00:41:31, teamEndTime=9999-12-31T23:59:59, strength=0.95954797463, currentLevel=1
teamid=75, name=1F2Ros8A1nn, teamCreationTime=2016-05-31T01:38:24, teamEndTime=9999-12-31T23:59:59, strength=0.737032095979, currentLevel=1
teamid=95, name=G3uhsdarlCs, teamCreationTime=2016-05-31T01:42:32, teamEndTime=9999-12-31T23:59:59, strength=0.410999385639, currentLevel=1
teamid=155, name=oyxTOsV, teamCreationTime=2016-05-31T02:42:42, teamEndTime=9999-12-31T23:59:59, strength=0.555496197029, currentLevel=1
teamid=84, name=g33JUzfMh, teamCreationTime=2016-05-31T02:42:52, teamEndTime=9999-12-31T23:59:59, strength=0.792470704619, currentLevel=1
teamid=71, name=2QRx5E, teamCreationTime=2016-05-31T02:59:50, teamEndTime=9999-12-31T23:59:59, strength=0.217005145583, currentLevel=1
teamid=161, name=hD3O2hgE, teamCreationTime=2016-05-31T03:09:28, teamEndTime=9999-12-31T23:59:59, strength=0.932492315607, currentLevel=1
teamid=147, name=PwCz2l40FDj, teamCreationTime=2016-05-31T03:33:06, teamEndTime=9999-12-31T23:59:59, strength=0.551964168176, currentLevel=1
teamid=193, name=v0NWLj9, teamCreationTime=2016-05-31T03:35:53, teamEndTime=9999-12-31T23:59:59, strength=0.583762858631, currentLevel=1
teamid=149, name=ilBFWK6Ac, teamCreationTime=2016-05-31T03:38:31, teamEndTime=9999-12-31T23:59:59, strength=0.684316135922, currentLevel=1
teamid=16, name=x9hy0yc, teamCreationTime=2016-05-31T03:39:23, teamEndTime=9999-12-31T23:59:59, strength=0.142821364378, currentLevel=1
teamid=104, name=tEVGTWBDl1, teamCreationTime=2016-05-31T03:49:19, teamEndTime=9999-12-31T23:59:59, strength=0.471304609889, currentLevel=1
teamid=18, name=EKTQf5K, teamCreationTime=2016-05-31T04:04:47, teamEndTime=9999-12-31T23:59:59, strength=0.165274761868, currentLevel=1
teamid=77, name=Jjd4Uak6m, teamCreationTime=2016-05-31T04:25:54, teamEndTime=9999-12-31T23:59:59, strength=0.445918189707, currentLevel=1
teamid=181, name=SzPbLa, teamCreationTime=2016-05-31T04:57:05, teamEndTime=9999-12-31T23:59:59, strength=0.791335904972, currentLevel=1
teamid=59, name=gCfo51lB, teamCreationTime=2016-05-31T05:43:57, teamEndTime=9999-12-31T23:59:59, strength=0.773406609106, currentLevel=1
teamid=123, name=4rYck8, teamCreationTime=2016-05-31T06:24:03, teamEndTime=9999-12-31T23:59:59, strength=0.575651381618, currentLevel=1
teamid=137, name=D1tMuygI1RR, teamCreationTime=2016-05-31T07:15:38, teamEndTime=9999-12-31T23:59:59, strength=0.2416458586, currentLevel=1
teamid=10, name=LQ3IYj, teamCreationTime=2016-05-31T08:28:39, teamEndTime=9999-12-31T23:59:59, strength=0.495851286492, currentLevel=1
teamid=41, name=oqKjpMae2Z, teamCreationTime=2016-05-31T08:34:47, teamEndTime=9999-12-31T23:59:59, strength=0.473821793876, currentLevel=1
teamid=87, name=TrUTGHxlxa, teamCreationTime=2016-05-31T09:00:44, teamEndTime=9999-12-31T23:59:59, strength=0.0590803685866, currentLevel=1
teamid=3, name=Q87F9ALhp0, teamCreationTime=2016-05-31T09:03:19, teamEndTime=9999-12-31T23:59:59, strength=0.298491857284, currentLevel=1
teamid=47, name=PYgJYR4NNq, teamCreationTime=2016-05-31T09:05:09, teamEndTime=9999-12-31T23:59:59, strength=0.20210194292, currentLevel=1
teamid=44, name=AgLEA7E, teamCreationTime=2016-05-31T09:06:37, teamEndTime=9999-12-31T23:59:59, strength=0.828550028708, currentLevel=1
teamid=102, name=iJuIG59udS, teamCreationTime=2016-05-31T09:47:23, teamEndTime=9999-12-31T23:59:59, strength=0.270687219443, currentLevel=1
teamid=194, name=xyRKF5dU4, teamCreationTime=2016-05-31T10:20:49, teamEndTime=9999-12-31T23:59:59, strength=0.323213822359, currentLevel=1
teamid=158, name=xdVE6pY, teamCreationTime=2016-05-31T10:42:19, teamEndTime=9999-12-31T23:59:59, strength=0.684562838181, currentLevel=1
teamid=111, name=rG1qRVjIc0, teamCreationTime=2016-05-31T10:51:33, teamEndTime=9999-12-31T23:59:59, strength=0.860048352715, currentLevel=1
teamid=169, name=qkoNzWzuEL5, teamCreationTime=2016-05-31T12:23:02, teamEndTime=9999-12-31T23:59:59, strength=0.726387515897, currentLevel=1
teamid=89, name=tYVA8S9M4Bm, teamCreationTime=2016-05-31T12:27:44, teamEndTime=9999-12-31T23:59:59, strength=0.226604646669, currentLevel=1
teamid=35, name=sR06sIN5vu, teamCreationTime=2016-05-31T12:33:10, teamEndTime=9999-12-31T23:59:59, strength=0.0432878415536, currentLevel=1
teamid=85, name=SazhcvfV8, teamCreationTime=2016-05-31T12:47:34, teamEndTime=9999-12-31T23:59:59, strength=0.783785523517, currentLevel=1
teamid=57, name=nLUYrI0LzGS, teamCreationTime=2016-05-31T12:49:41, teamEndTime=9999-12-31T23:59:59, strength=0.778381204868, currentLevel=1
teamid=157, name=T3X2fyPgVUf, teamCreationTime=2016-05-31T12:57:38, teamEndTime=9999-12-31T23:59:59, strength=0.781776977706, currentLevel=1
teamid=46, name=6OS5m5, teamCreationTime=2016-05-31T13:46:01, teamEndTime=9999-12-31T23:59:59, strength=0.122718066402, currentLevel=1
teamid=82, name=eiSHBj0, teamCreationTime=2016-05-31T14:32:46, teamEndTime=9999-12-31T23:59:59, strength=0.0612826661126, currentLevel=1
teamid=39, name=dQKMLwfawR, teamCreationTime=2016-05-31T16:05:27, teamEndTime=9999-12-31T23:59:59, strength=0.43696168027, currentLevel=1
teamid=54, name=7iBc2l, teamCreationTime=2016-05-31T16:26:26, teamEndTime=9999-12-31T23:59:59, strength=0.379056248213, currentLevel=1
teamid=113, name=L2Hhwjy, teamCreationTime=2016-05-31T17:09:21, teamEndTime=9999-12-31T23:59:59, strength=0.306398043197, currentLevel=1
teamid=188, name=JsAtFyi0Bs, teamCreationTime=2016-05-31T17:17:19, teamEndTime=9999-12-31T23:59:59, strength=0.47298316173, currentLevel=1
teamid=13, name=lsWUVSz, teamCreationTime=2016-05-31T17:22:45, teamEndTime=9999-12-31T23:59:59, strength=0.647131567512, currentLevel=1
teamid=0, name=2EtXMOPoPZ9, teamCreationTime=2016-05-31T17:35:02, teamEndTime=9999-12-31T23:59:59, strength=0.0183828780999, currentLevel=1
teamid=48, name=lPXhqveCqO2, teamCreationTime=2016-05-31T17:40:55, teamEndTime=9999-12-31T23:59:59, strength=0.176387036783, currentLevel=1
teamid=144, name=Azp6eYB, teamCreationTime=2016-05-31T17:57:06, teamEndTime=9999-12-31T23:59:59, strength=0.717186809655, currentLevel=1
teamid=86, name=r0ThCkgg, teamCreationTime=2016-05-31T18:37:04, teamEndTime=9999-12-31T23:59:59, strength=0.237612981425, currentLevel=1
teamid=43, name=nHKqJH, teamCreationTime=2016-05-31T18:38:28, teamEndTime=9999-12-31T23:59:59, strength=0.437985027286, currentLevel=1
teamid=148, name=nLRXN15Q8CP, teamCreationTime=2016-05-31T19:07:06, teamEndTime=9999-12-31T23:59:59, strength=0.602195394921, currentLevel=1
teamid=130, name=JZBRIl, teamCreationTime=2016-05-31T19:15:22, teamEndTime=9999-12-31T23:59:59, strength=0.411439711675, currentLevel=1
teamid=126, name=pTXeefWuj, teamCreationTime=2016-05-31T19:20:37, teamEndTime=9999-12-31T23:59:59, strength=0.179908488946, currentLevel=1
teamid=99, name=dNY3QLCYTMV, teamCreationTime=2016-05-31T19:34:14, teamEndTime=9999-12-31T23:59:59, strength=0.224360729744, currentLevel=1
teamid=24, name=c4oF4rcLueb, teamCreationTime=2016-05-31T19:36:42, teamEndTime=9999-12-31T23:59:59, strength=0.579168521866, currentLevel=1
teamid=128, name=LiX9Ll5H6u4, teamCreationTime=2016-05-31T20:16:27, teamEndTime=9999-12-31T23:59:59, strength=0.389844363455, currentLevel=1
teamid=2, name=ISZb1LxF, teamCreationTime=2016-05-31T20:28:53, teamEndTime=9999-12-31T23:59:59, strength=0.0183914498621, currentLevel=1
teamid=108, name=JKWHM8QQr, teamCreationTime=2016-05-31T20:35:28, teamEndTime=9999-12-31T23:59:59, strength=0.330767152174, currentLevel=1
teamid=199, name=B1uJKr2Hb, teamCreationTime=2016-05-31T20:48:54, teamEndTime=9999-12-31T23:59:59, strength=0.87369749444, currentLevel=1
teamid=80, name=kiT0be7, teamCreationTime=2016-05-31T21:55:41, teamEndTime=9999-12-31T23:59:59, strength=0.343155251424, currentLevel=1
teamid=49, name=9olXd35Z, teamCreationTime=2016-05-31T22:01:03, teamEndTime=9999-12-31T23:59:59, strength=0.317224962859, currentLevel=1
teamid=175, name=gL5UqGDMrq, teamCreationTime=2016-05-31T22:08:01, teamEndTime=9999-12-31T23:59:59, strength=0.310794227601, currentLevel=1
teamid=17, name=a3FSTAsCzDS, teamCreationTime=2016-05-31T22:11:14, teamEndTime=9999-12-31T23:59:59, strength=0.00290159813704, currentLevel=1
teamid=189, name=7nxw3HFLfng, teamCreationTime=2016-05-31T22:23:25, teamEndTime=9999-12-31T23:59:59, strength=0.781182522584, currentLevel=1
teamid=12, name=6JkxXk, teamCreationTime=2016-05-31T22:25:45, teamEndTime=9999-12-31T23:59:59, strength=0.255090082322, currentLevel=1
teamid=125, name=kzzC2rt, teamCreationTime=2016-05-31T22:32:01, teamEndTime=9999-12-31T23:59:59, strength=0.291275704317, currentLevel=1
teamid=14, name=W11Dsaqiz, teamCreationTime=2016-05-31T22:32:38, teamEndTime=9999-12-31T23:59:59, strength=0.209931404172, currentLevel=1
teamid=109, name=o5CtDLQNnJQ, teamCreationTime=2016-05-31T22:57:49, teamEndTime=9999-12-31T23:59:59, strength=0.488834647443, currentLevel=1
teamid=166, name=Hu5lHV, teamCreationTime=2016-05-31T23:09:18, teamEndTime=9999-12-31T23:59:59, strength=0.481309597656, currentLevel=1
teamid=53, name=S7VFSKJ, teamCreationTime=2016-05-31T23:30:22, teamEndTime=9999-12-31T23:59:59, strength=0.944724293767, currentLevel=1
teamid=31, name=LYfTh1nqHC, teamCreationTime=2016-05-31T23:46:13, teamEndTime=9999-12-31T23:59:59, strength=0.197173701621, currentLevel=1
teamid=182, name=ARIUeAmQR5S, teamCreationTime=2016-06-01T00:17:58, teamEndTime=9999-12-31T23:59:59, strength=0.523755916653, currentLevel=1
teamid=159, name=GpHoeeklb, teamCreationTime=2016-06-01T00:31:02, teamEndTime=9999-12-31T23:59:59, strength=0.901991328376, currentLevel=1
teamid=142, name=ZEa0mFSAT, teamCreationTime=2016-06-01T00:43:36, teamEndTime=9999-12-31T23:59:59, strength=0.344655153174, currentLevel=1
teamid=152, name=weites9LxS, teamCreationTime=2016-06-01T01:02:19, teamEndTime=9999-12-31T23:59:59, strength=0.729581888949, currentLevel=1
teamid=22, name=wChTjJ, teamCreationTime=2016-06-01T01:16:08, teamEndTime=9999-12-31T23:59:59, strength=0.636555934453, currentLevel=1
teamid=45, name=WEjSgHHDd, teamCreationTime=2016-06-01T01:23:32, teamEndTime=9999-12-31T23:59:59, strength=0.695076323475, currentLevel=1
teamid=196, name=4gVdFC3JFJ9, teamCreationTime=2016-06-01T01:30:47, teamEndTime=9999-12-31T23:59:59, strength=0.194852795875, currentLevel=1
teamid=180, name=7ilOMeQ9X6c, teamCreationTime=2016-06-01T01:36:16, teamEndTime=9999-12-31T23:59:59, strength=0.895112768515, currentLevel=1
teamid=32, name=ovWyl5Af, teamCreationTime=2016-06-01T01:41:50, teamEndTime=9999-12-31T23:59:59, strength=0.916521145034, currentLevel=1
teamid=129, name=A9d8w4X1, teamCreationTime=2016-06-01T01:45:28, teamEndTime=9999-12-31T23:59:59, strength=0.594232280286, currentLevel=1
teamid=178, name=tmoMWTkeU, teamCreationTime=2016-06-01T01:47:52, teamEndTime=9999-12-31T23:59:59, strength=0.9844082916, currentLevel=1
teamid=122, name=tGxWzU, teamCreationTime=2016-06-01T01:56:56, teamEndTime=9999-12-31T23:59:59, strength=0.289913986732, currentLevel=1
teamid=52, name=Vn7nQQMEu8W, teamCreationTime=2016-06-01T02:01:34, teamEndTime=9999-12-31T23:59:59, strength=0.0286995581351, currentLevel=1
teamid=150, name=V3dCTFG, teamCreationTime=2016-06-01T02:02:59, teamEndTime=9999-12-31T23:59:59, strength=0.501411964226, currentLevel=1
teamid=107, name=waYbNwS, teamCreationTime=2016-06-01T02:52:41, teamEndTime=9999-12-31T23:59:59, strength=0.387909018729, currentLevel=1
teamid=151, name=MkHphHq8, teamCreationTime=2016-06-01T03:14:39, teamEndTime=9999-12-31T23:59:59, strength=0.115336135533, currentLevel=1
teamid=153, name=Lwqw0smnkA, teamCreationTime=2016-06-01T03:51:05, teamEndTime=9999-12-31T23:59:59, strength=0.114823682819, currentLevel=1
teamid=38, name=DEXvRuE, teamCreationTime=2016-06-01T03:54:34, teamEndTime=9999-12-31T23:59:59, strength=0.431336623202, currentLevel=1
teamid=56, name=EzWNZfBcG, teamCreationTime=2016-06-01T04:54:00, teamEndTime=9999-12-31T23:59:59, strength=0.47033902507, currentLevel=1
teamid=63, name=REVpzFTd, teamCreationTime=2016-06-01T05:56:24, teamEndTime=9999-12-31T23:59:59, strength=0.823636681975, currentLevel=1
teamid=21, name=1tzxcGRnqJi, teamCreationTime=2016-06-01T05:57:16, teamEndTime=9999-12-31T23:59:59, strength=0.71502404893, currentLevel=1
teamid=96, name=nf9SBSncJs, teamCreationTime=2016-06-01T05:59:19, teamEndTime=9999-12-31T23:59:59, strength=0.254084116577, currentLevel=1
teamid=65, name=ynREmLt9L9N, teamCreationTime=2016-06-01T06:33:06, teamEndTime=9999-12-31T23:59:59, strength=0.728314144459, currentLevel=1
teamid=68, name=xPficNNZ, teamCreationTime=2016-06-01T06:50:44, teamEndTime=9999-12-31T23:59:59, strength=0.267368241889, currentLevel=1
teamid=74, name=9O6loW, teamCreationTime=2016-06-01T08:00:57, teamEndTime=9999-12-31T23:59:59, strength=0.709503614533, currentLevel=1
teamid=11, name=NmoU3rbhH, teamCreationTime=2016-06-01T08:07:14, teamEndTime=9999-12-31T23:59:59, strength=0.691899396871, currentLevel=1
teamid=83, name=TXZ37Vw85ak, teamCreationTime=2016-06-01T08:10:44, teamEndTime=9999-12-31T23:59:59, strength=0.537165755458, currentLevel=1
teamid=93, name=CnWBZfJNu1, teamCreationTime=2016-06-01T08:53:21, teamEndTime=9999-12-31T23:59:59, strength=0.169271156201, currentLevel=1
teamid=139, name=umqLJc, teamCreationTime=2016-06-01T09:12:22, teamEndTime=9999-12-31T23:59:59, strength=0.413116396623, currentLevel=1
