userSessionid=6780, userid=1909, teamid=154, assignmentid=5514, startTimeStamp=2016-06-01T18:01:50, endTimeStamp=2016-06-06T12:33:05, team_level=1, platformType=iphone
userSessionid=6783, userid=1507, teamid=4, assignmentid=5729, startTimeStamp=2016-06-02T17:03:19, endTimeStamp=2016-06-06T16:33:05, team_level=1, platformType=windows
userSessionid=6588, userid=1798, teamid=119, assignmentid=5768, startTimeStamp=2016-06-03T16:50:57, endTimeStamp=2016-06-06T18:03:05, team_level=1, platformType=iphone
userSessionid=6239, userid=147, teamid=3, assignmentid=5860, startTimeStamp=2016-06-01T10:15:39, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=6282, userid=980, teamid=3, assignmentid=5850, startTimeStamp=2016-06-02T13:13:55, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6371, userid=2, teamid=3, assignmentid=5855, startTimeStamp=2016-06-02T11:36:08, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6441, userid=810, teamid=3, assignmentid=5856, startTimeStamp=2016-06-02T14:41:27, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6526, userid=3, teamid=3, assignmentid=5857, startTimeStamp=2016-06-02T18:29:02, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6551, userid=570, teamid=3, assignmentid=5845, startTimeStamp=2016-06-02T13:22:24, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6566, userid=300, teamid=3, assignmentid=5859, startTimeStamp=2016-06-04T01:38:16, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6678, userid=717, teamid=3, assignmentid=5849, startTimeStamp=2016-06-03T16:37:31, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6716, userid=1237, teamid=3, assignmentid=5858, startTimeStamp=2016-06-02T21:51:19, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=7365, userid=1646, teamid=3, assignmentid=5861, startTimeStamp=2016-06-06T03:33:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=7414, userid=1014, teamid=3, assignmentid=5852, startTimeStamp=2016-06-06T04:33:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6200, userid=1731, teamid=4, assignmentid=5727, startTimeStamp=2016-06-04T01:54:53, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=6204, userid=174, teamid=4, assignmentid=5735, startTimeStamp=2016-06-03T00:02:32, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6221, userid=1915, teamid=4, assignmentid=5726, startTimeStamp=2016-06-02T12:53:46, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6287, userid=190, teamid=4, assignmentid=5728, startTimeStamp=2016-06-03T01:57:06, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6460, userid=448, teamid=4, assignmentid=5734, startTimeStamp=2016-06-02T13:10:54, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6471, userid=918, teamid=4, assignmentid=5732, startTimeStamp=2016-06-02T00:33:02, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6704, userid=355, teamid=6, assignmentid=5173, startTimeStamp=2016-06-01T09:20:57, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=8054, userid=934, teamid=6, assignmentid=7932, startTimeStamp=2016-06-06T17:03:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=mac
userSessionid=6364, userid=1415, teamid=7, assignmentid=5423, startTimeStamp=2016-06-02T11:51:29, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6482, userid=869, teamid=7, assignmentid=5426, startTimeStamp=2016-06-02T11:35:44, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6520, userid=931, teamid=7, assignmentid=5428, startTimeStamp=2016-06-01T05:21:54, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6574, userid=870, teamid=7, assignmentid=5435, startTimeStamp=2016-06-02T07:33:10, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6656, userid=71, teamid=7, assignmentid=5424, startTimeStamp=2016-06-03T23:25:47, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6663, userid=1094, teamid=7, assignmentid=5429, startTimeStamp=2016-06-01T17:28:55, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=7098, userid=882, teamid=7, assignmentid=5425, startTimeStamp=2016-06-05T21:33:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=7541, userid=1571, teamid=7, assignmentid=6835, startTimeStamp=2016-06-06T07:03:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6248, userid=1684, teamid=9, assignmentid=5508, startTimeStamp=2016-06-02T16:15:59, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6265, userid=317, teamid=9, assignmentid=5509, startTimeStamp=2016-06-02T18:53:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6349, userid=926, teamid=9, assignmentid=5510, startTimeStamp=2016-06-01T16:51:51, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6380, userid=111, teamid=9, assignmentid=5496, startTimeStamp=2016-06-02T14:00:43, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6390, userid=158, teamid=9, assignmentid=5505, startTimeStamp=2016-06-04T03:49:43, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6458, userid=1937, teamid=9, assignmentid=5506, startTimeStamp=2016-06-01T21:37:44, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6467, userid=734, teamid=9, assignmentid=5503, startTimeStamp=2016-06-01T15:40:50, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6552, userid=1220, teamid=9, assignmentid=5499, startTimeStamp=2016-06-04T16:29:01, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6578, userid=98, teamid=9, assignmentid=5504, startTimeStamp=2016-05-31T10:05:33, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=mac
userSessionid=6636, userid=63, teamid=9, assignmentid=5495, startTimeStamp=2016-05-31T16:29:04, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6641, userid=1504, teamid=9, assignmentid=5279, startTimeStamp=2016-06-02T19:13:24, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6690, userid=224, teamid=9, assignmentid=5501, startTimeStamp=2016-06-01T04:16:44, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=8305, userid=1866, teamid=9, assignmentid=5500, startTimeStamp=2016-06-06T21:03:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6208, userid=320, teamid=10, assignmentid=5550, startTimeStamp=2016-06-02T19:47:51, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6262, userid=1482, teamid=10, assignmentid=5547, startTimeStamp=2016-06-04T05:01:51, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6278, userid=947, teamid=10, assignmentid=5546, startTimeStamp=2016-06-02T23:16:38, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6345, userid=1938, teamid=10, assignmentid=5549, startTimeStamp=2016-06-03T08:59:41, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=6362, userid=1899, teamid=10, assignmentid=5545, startTimeStamp=2016-06-02T14:39:42, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6405, userid=1463, teamid=10, assignmentid=5554, startTimeStamp=2016-06-02T21:00:16, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
